test_id,reference_int,reference_hex,hw_hex,hw_int,abs_error_int,rel_error,squared_error,exact_match
9335,-50,FFCE,FFCE,-50,0,0.0,0,1
9336,-118,FF8A,FF8A,-118,0,0.0,0,1
9337,-72,FFB8,FFB8,-72,0,0.0,0,1
9338,97,0061,0061,97,0,0.0,0,1
9339,-117,FF8B,FF8B,-117,0,0.0,0,1
9340,129,0081,0081,129,0,0.0,0,1
9341,-43,FFD5,FFD5,-43,0,0.0,0,1
9342,-25,FFE7,FFE7,-25,0,0.0,0,1
9343,9,0009,0009,9,0,0.0,0,1
9344,-77,FFB3,FFB3,-77,0,0.0,0,1
9345,-153,FF67,FF67,-153,0,0.0,0,1
9346,-153,FF67,FF67,-153,0,0.0,0,1
9347,-31,FFE1,FFE1,-31,0,0.0,0,1
9348,42,002A,002A,42,0,0.0,0,1
9349,-81,FFAF,FFAF,-81,0,0.0,0,1
9350,35,0023,0023,35,0,0.0,0,1
9351,-74,FFB6,FFB6,-74,0,0.0,0,1
9352,5,0005,0005,5,0,0.0,0,1
9353,160,00A0,00A0,160,0,0.0,0,1
9354,-128,FF80,FF80,-128,0,0.0,0,1
9355,125,007D,007D,125,0,0.0,0,1
9356,102,0066,0066,102,0,0.0,0,1
9357,24,0018,0018,24,0,0.0,0,1
9358,16,0010,0010,16,0,0.0,0,1
9359,125,007D,007D,125,0,0.0,0,1
9360,-76,FFB4,FFB4,-76,0,0.0,0,1
9361,66,0042,0042,66,0,0.0,0,1
9362,-147,FF6D,FF6D,-147,0,0.0,0,1
9363,63,003F,003F,63,0,0.0,0,1
9364,6,0006,0006,6,0,0.0,0,1
9365,-153,FF67,FF67,-153,0,0.0,0,1
9366,79,004F,004F,79,0,0.0,0,1
9367,-9,FFF7,FFF7,-9,0,0.0,0,1
9368,-160,FF60,FF60,-160,0,0.0,0,1
9369,-259,FEFD,FEFD,-259,0,0.0,0,1
9370,-211,FF2D,FF2D,-211,0,0.0,0,1
9371,-28,FFE4,FFE4,-28,0,0.0,0,1
9372,-80,FFB0,FFB0,-80,0,0.0,0,1
9373,-24,FFE8,FFE8,-24,0,0.0,0,1
9374,30,001E,001E,30,0,0.0,0,1
9375,53,0035,0035,53,0,0.0,0,1
9376,27,001B,001B,27,0,0.0,0,1
