fault_id,format,target_id,target_name,vector_id,bit_id,fault_type
685,FP16,0,R,42,13,bflip
686,FP16,0,R,42,14,bflip
687,FP16,0,R,42,15,bflip
688,FP16,0,R,43,0,bflip
689,FP16,0,R,43,1,bflip
690,FP16,0,R,43,2,bflip
691,FP16,0,R,43,3,bflip
692,FP16,0,R,43,4,bflip
693,FP16,0,R,43,5,bflip
694,FP16,0,R,43,6,bflip
695,FP16,0,R,43,7,bflip
696,FP16,0,R,43,8,bflip
697,FP16,0,R,43,9,bflip
698,FP16,0,R,43,10,bflip
699,FP16,0,R,43,11,bflip
700,FP16,0,R,43,12,bflip
701,FP16,0,R,43,13,bflip
702,FP16,0,R,43,14,bflip
703,FP16,0,R,43,15,bflip
704,FP16,0,R,44,0,bflip
705,FP16,0,R,44,1,bflip
706,FP16,0,R,44,2,bflip
707,FP16,0,R,44,3,bflip
708,FP16,0,R,44,4,bflip
709,FP16,0,R,44,5,bflip
710,FP16,0,R,44,6,bflip
711,FP16,0,R,44,7,bflip
712,FP16,0,R,44,8,bflip
713,FP16,0,R,44,9,bflip
714,FP16,0,R,44,10,bflip
715,FP16,0,R,44,11,bflip
716,FP16,0,R,44,12,bflip
717,FP16,0,R,44,13,bflip
718,FP16,0,R,44,14,bflip
719,FP16,0,R,44,15,bflip
720,FP16,0,R,45,0,bflip
721,FP16,0,R,45,1,bflip
722,FP16,0,R,45,2,bflip
723,FP16,0,R,45,3,bflip
724,FP16,0,R,45,4,bflip
725,FP16,0,R,45,5,bflip
726,FP16,0,R,45,6,bflip
727,FP16,0,R,45,7,bflip
728,FP16,0,R,45,8,bflip
729,FP16,0,R,45,9,bflip
730,FP16,0,R,45,10,bflip
731,FP16,0,R,45,11,bflip
732,FP16,0,R,45,12,bflip
733,FP16,0,R,45,13,bflip
734,FP16,0,R,45,14,bflip
735,FP16,0,R,45,15,bflip
736,FP16,0,R,46,0,bflip
737,FP16,0,R,46,1,bflip
738,FP16,0,R,46,2,bflip
739,FP16,0,R,46,3,bflip
740,FP16,0,R,46,4,bflip
741,FP16,0,R,46,5,bflip
742,FP16,0,R,46,6,bflip
743,FP16,0,R,46,7,bflip
744,FP16,0,R,46,8,bflip
745,FP16,0,R,46,9,bflip
746,FP16,0,R,46,10,bflip
747,FP16,0,R,46,11,bflip
748,FP16,0,R,46,12,bflip
749,FP16,0,R,46,13,bflip
750,FP16,0,R,46,14,bflip
751,FP16,0,R,46,15,bflip
752,FP16,0,R,47,0,bflip
753,FP16,0,R,47,1,bflip
754,FP16,0,R,47,2,bflip
755,FP16,0,R,47,3,bflip
756,FP16,0,R,47,4,bflip
757,FP16,0,R,47,5,bflip
758,FP16,0,R,47,6,bflip
759,FP16,0,R,47,7,bflip
760,FP16,0,R,47,8,bflip
761,FP16,0,R,47,9,bflip
762,FP16,0,R,47,10,bflip
763,FP16,0,R,47,11,bflip
764,FP16,0,R,47,12,bflip
765,FP16,0,R,47,13,bflip
766,FP16,0,R,47,14,bflip
767,FP16,0,R,47,15,bflip
768,FP16,0,R,48,0,bflip
